file,best_clique,ants_per_v,final_std,alpha,tmin,tmax,maxCycles,evaporation_rate,p_runs_away_from_maximum,iterations_to_reach_80pct
easy,10.0,0.02,0.5230678732248806,2.0,0.01,3.0,10,0.98,0.9,10
easy,10.0,0.02,0.5385164807134503,2.0,0.01,3.0,10,0.99,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,6.0,10,0.8,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,6.0,10,0.9,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,6.0,10,0.95,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,6.0,10,0.98,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,6.0,10,0.99,0.9,10
easy,11.0,0.02,0.5230678732248806,0.75,0.01,6.0,10,0.8,0.9,10
easy,10.0,0.02,0.5230678732248806,0.75,0.01,6.0,10,0.9,0.9,10
easy,10.0,0.02,0.5230678732248806,0.75,0.01,6.0,10,0.95,0.9,10
easy,10.0,0.02,0.5444263035526482,0.75,0.01,6.0,10,0.98,0.88,10
easy,10.0,0.02,0.5599999999999997,0.75,0.01,6.0,10,0.99,0.88,10
easy,11.0,0.02,0.488262224629348,0.98,0.01,6.0,10,0.8,0.9,10
easy,11.0,0.02,0.5230678732248806,0.98,0.01,6.0,10,0.9,0.9,10
easy,10.0,0.02,0.5230678732248806,0.98,0.01,6.0,10,0.95,0.9,10
easy,10.0,0.02,0.5385164807134503,0.98,0.01,6.0,10,0.98,0.9,10
easy,10.0,0.02,0.5444263035526482,0.98,0.01,6.0,10,0.99,0.88,10
easy,11.0,0.02,0.488262224629348,1.0,0.01,6.0,10,0.8,0.9,10
easy,11.0,0.02,0.5230678732248806,1.0,0.01,6.0,10,0.9,0.9,10
easy,10.0,0.02,0.5230678732248806,1.0,0.01,6.0,10,0.95,0.9,10
easy,10.0,0.02,0.5385164807134503,1.0,0.01,6.0,10,0.98,0.9,10
easy,10.0,0.02,0.5444263035526482,1.0,0.01,6.0,10,0.99,0.88,10
easy,11.0,0.02,0.4686149805543996,1.1,0.01,6.0,10,0.8,0.9,10
easy,11.0,0.02,0.5063595560468869,1.1,0.01,6.0,10,0.9,0.9,10
easy,10.0,0.02,0.5230678732248806,1.1,0.01,6.0,10,0.95,0.9,10
easy,10.0,0.02,0.5230678732248806,1.1,0.01,6.0,10,0.98,0.9,10
easy,10.0,0.02,0.5444263035526482,1.1,0.01,6.0,10,0.99,0.88,10
easy,10.0,0.02,0.4454211490264016,2.0,0.01,6.0,10,0.8,0.92,9
easy,10.0,0.02,0.5473572873361606,2.0,0.01,6.0,10,0.9,0.86,10
